,I think that I would like to use ClimMob frequently,I found ClimMob unnecessarily complex,I thought ClimMob was easy to use,I think that I would need the support of a technical person to be able to use ClimMob,I found that the various functions in ClimMob were well integrated,I thought there was too much inconsistency in ClimMob.,I would imagine that most people would learn to use ClimMob very quickly.,I found ClimMob very cumbersome to use.,I felt very confident using ClimMob,I needed to learn a lot of things before I could get going with ClimMob.
1,4,4,5,4,4,3,4,2,4,4
2,5,1,5,5,5,3,4,4,5,4
3,4,2,4,4,4,2,4,2,4,4
4,3,3,4,4,3,3,4,3,4,1
5,4,3,4,4,4,2,4,2,4,4
6,5,2,2,4,5,3,4,2,5,4
7,5,2,4,3,4,2,4,2,4,2
8,5,2,4,3,4,1,4,2,3,3
9,5,1,5,5,5,1,4,1,5,4
10,5,2,4,5,4,3,1,3,2,5
11,5,2,2,2,4,3,4,2,4,3
12,4,1,5,2,4,2,3,2,4,2
13,5,2,3,4,4,2,3,2,2,4
14,4,2,4,1,4,2,4,2,5,1
15,4,2,4,3,4,2,4,2,4,2
16,5,2,5,2,2,1,4,2,5,3
