observer,ClimMob Q1,ClimMob Q2,,,,,,,,,,,,,,,,,,,,,,
1,4,2,,,,,,,,,,,,,,,,,,,,,,
2,4,4,,,,,,,,,,,,,,,,,,,,,,
3,5,5,,,,,,,,,,,,,,,,,,,,,,
4,4,4,,,,,,,,,,,,,,,,,,,,,,
5,5,4,,,,,,,,,,,,,,,,,,,,,,
6,3,4,,,,,,,,,,,,,,,,,,,,,,
7,5,4,,,,,,,,,,,,,,,,,,,,,,
8,4,3,,,,,,,,,,,,,,,,,,,,,,
9,4,4,,,,,,,,,,,,,,,,,,,,,,
10,4,4,,,,,,,,,,,,,,,,,,,,,,
11,5,5,,,,,,,,,,,,,,,,,,,,,,
12,5,4,,,,,,,,,,,,,,,,,,,,,,
13,3,3,,,,,,,,,,,,,,,,,,,,,,
14,4,4,,,,,,,,,,,,,,,,,,,,,,
15,4,4,,,,,,,,,,,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,,,,,,
17,4,4,,,,,,,,,,,,,,,,,,,,,,
18,4,4,,,,,,,,,,,,,,,,,,,,,,
19,5,4,,,,,,,,,,,,,,,,,,,,,,
20,4,4,,,,,,,,,,,,,,,,,,,,,,
21,3,3,,,,,,,,,,,,,,,,,,,,,,
22,5,5,,,,,,,,,,,,,,,,,,,,,,
23,4,4,,,,,,,,,,,,,,,,,,,,,,
24,2,2,,,,,,,,,,,,,,,,,,,,,,
25,3,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
